,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
138,Portugal,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295
175,United Arab Emirates,0.83600003,ARE,NorthAfrica,20310.109,,2.5,5.27984094619751,,
70,Guinea,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,7.199999809265138,2.425785064697266,3.2081699371337886,31.78817939758301
97,Liberia,0.42699999,LBR,SubSaharian,488.26999000000006,,6.5999999046325675,3.472222328186035,2.757560014724731,
136,Philippines,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,6.199999809265138,4.54694414138794,,67.44245910644531
145,St Kitts and Nevis,0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
120,Nepal,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.9813001155853267,59.67913055419922
148,San Marino,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,2.3837299346923833,
74,Hungary,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,3.2999999523162837,3.28902006149292,4.6593499183654785,92.19537353515624
155,Singapore,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,
100,Lithuania,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828
66,Kiribati,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,
190,Venezuela,0.76899999,VEN,LatAm,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516
76,India,0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
191,Samoa,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
173,Tonga,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,75.42909240722656
99,Liechtenstein,0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
2,Algeria,0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,5.099999904632568,2.9773023128509517,,
92,Kyrgyzstan,0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031
52,El Salvador,0.67799997,SLV,LatAm,332.26999,,6.9000000953674325,3.804579257965088,3.448570013046265,70.17172241210939
24,Bulgaria,0.792,BGR,EastEurope,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766
83,Cote d'Ivoire,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,
53,Equatorial Guinea,0.58200002,GNQ,SubSaharian,15412.43,,6.0,,,
0,Afghanistan,0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469728,,3.780280113220215,48.75032043457031
71,Guyana,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789
143,Russia,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,4.5,3.4765191078186035,3.8613300323486333,
130,Palau,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,70.16300201416016
162,Spain,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625
47,Benin,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,6.800000190734862,2.39393949508667,4.3206801414489755,44.96981811523438
23,Brunei,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438
150,Saudi Arabia,0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,3.7000000476837163,4.109292984008788,,87.83480834960938
96,Latvia,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
30,Canada,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,
182,Macedonia,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,5.5,3.961112499237061,,
139,Guinea-Bissau,0.42100000000000004,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
106,Mali,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,8.399999618530272,3.003276109695435,3.7392899990081787,34.616100311279304
110,Mexico,0.75800002,MEX,LatAm,13609.42,119.7129974365234,5.800000190734862,2.814059019088745,5.3134799003601065,67.40973663330078
132,Panama,0.78500003,PAN,LatAm,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953
181,Ukraine,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375
188,Uruguay,0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061647,4.356939792633057,76.34809875488281
85,Japan,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328
108,Mauritania,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723
154,Sierra Leone,0.43099999,SLE,SubSaharian,979.9500099999999,6.23199987411499,8.399999618530272,2.986086368560791,2.661669969558716,
62,Georgia,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
29,Cameroon,0.514,CMR,SubSaharian,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
126,Nigeria,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,7.0999999046325675,2.85273027420044,,
80,Ireland,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
44,Cuba,0.773,CUB,LatAm,5899.9399,,5.699999809265138,,,87.48567199707031
77,Indonesia,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734862,4.464125156402588,3.278609991073608,75.01837158203125
125,Niger,0.35100001,NER,SubSaharian,644.53998,,6.9000000953674325,,6.709410190582275,15.665040016174322
98,Libya,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,
151,Senegal,0.491,SEN,SubSaharian,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,
33,Sri Lanka,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297
140,Timor-Leste,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
174,Trinidad and Tobago,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,7.5,4.182013988494873,,
36,China,0.73400003,CHN,EastAsia,9283.3799,,4.599999904632568,4.028250217437743,,
142,Romania,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,4.5,3.833498477935791,3.1291799545288086,83.92993927001953
43,Croatia,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.5,3.225566625595093,4.5816001892089835,92.67062377929688
